# Baseline: 2026-07-21T18:49:25+02:00 GCC_OPT=-O2 TCC=8c18fcc0
test,function,tcc_O2,gcc_-O2
float/73_arm64,fr_s13,5,12
float/73_arm64,fr_s14,5,12
float/73_arm64,fr_s15,5,14
float/73_arm64,fr_s16,5,11
float/73_arm64,fr_s17,5,13
float/73_arm64,fr_s2,3,10
float/73_arm64,fr_s3,3,12
float/73_arm64,fr_s4,3,5
float/73_arm64,fr_s5,5,8
float/73_arm64,fr_s6,5,8
float/73_arm64,fr_s7,5,10
float/73_arm64,fr_s8,5,7
float/73_arm64,fr_s9,5,9
float/73_arm64,main,8,4
float/73_arm64,match,19,17
float/73_arm64,movi,152,152
float/73_arm64,myprintf,371,323
float/73_arm64,opi,110,146
float/73_arm64,pcs,7,7
float/73_arm64,pll,6,4
float/73_arm64,ret,348,217
float/73_arm64,stdarg,1116,701
float/73_arm64,va_arg_with_struct_ptr,10,2
float/83_utf8_in_identifiers,main,11,10
float/84_hex-float,main,6,6
float/94_generic,a_f,2,2
float/94_generic,b_f,2,2
float/94_generic,f,2,2
float/94_generic,foo,1,1
float/94_generic,main,50,51
float/94_generic,void_foo,1,1
func-sections/bug_static_func_reloc,main,55,47
gcc-compile/103818,foo,48,37
gcc-compile/20000105-1,main,3,3
gcc-compile/20000105-2,foo,1,1
gcc-compile/20000120-2,foo,2,2
gcc-compile/20000120-2,odd,2,2
gcc-compile/20000127-1,foo,21,18
gcc-compile/20000211-1,TRUE_LIST_P,7,6
gcc-compile/20000211-3,f_clos,1,1
gcc-compile/20000224-1,init_device_faces,13,14
gcc-compile/20000314-1,main,8,7
gcc-compile/20000314-2,toto,4,2
gcc-compile/20000326-1,sys_reboot,30,28
gcc-compile/20000326-2,foo,2,3
gcc-compile/20000329-1,main,8,5
gcc-compile/20000403-1,uname,26,21
gcc-compile/20000403-2,foo,1,1
gcc-compile/20000405-1,foo,8,3
gcc-compile/20000405-2,bar,7,3
gcc-compile/20000405-3,foo,3,4
gcc-compile/20000412-1,f,8,8
gcc-compile/20000412-2,f,4,3
gcc-compile/20000420-2,foo,12,11
gcc-compile/20000427-1,ConvertFor3dDriver,20,16
gcc-compile/20000504-1,func,11,8
gcc-compile/20000511-1,f,17,12
gcc-compile/20000511-1,main,7,5
gcc-compile/20000511-1,z,24,2
gcc-compile/20000517-1,test,14,14
gcc-compile/20000518-1,dotest,4,2
gcc-compile/20000518-1,test,4,2
gcc-compile/20000605-1,baz,3,1
